id,legacy_date_found,legacy_time_found,location,item_type,description,legacy_status,entered_by,updated_by,found_by,created_at,updated_at,image_url,legacy_claimed_by,where_found,date_found,datetime_found,claimed_by,purged,claimed
9086,,,moffitt 4th fl entrance,cal1 id card,CAL ID for Jon Doe 1234567890,,Jon Doe,Jon Doe,patron,2024-12-07 21:24:42.98619,2024-12-07 21:24:42.98619,,,outside moff,2024-12-07,2024-12-07 21:24:00,,f,f
9087,,,doe south entrance,other,Black Venmo Debit Card belonging to “Jon Snow”,,Jon Doe,Jon Doe,Patron,2024-12-08 01:25:47.350561,2024-12-09 23:57:42.237361,,,Moff 4th Floor,2024-12-07,2024-12-08 00:00:00,,f,f
9088,,,doe south entrance,water bottles,Grey water bottle with Paypal logo near the bottom 25oz,,Jon Doe,Jon Doe,Security,2024-12-08 01:31:29.949852,2024-12-10 00:06:23.584532,,,Moff 4,2024-12-06,2024-12-07 06:00:00,,f,f
9089,,,doe south entrance,water bottles,Grey Thermos w/ blue dot on top of the lid,,Jon Doe,Jon Doe,Security ,2024-12-08 01:32:59.915015,2024-12-10 00:08:23.172157,,,Moff 5,2024-12-06,2024-12-07 06:00:00,,f,f
9090,,,doe south entrance,water bottles,Pink 40oz HydroFlask,,Jon Doe,Jon Doe,Security,2024-12-08 01:34:12.271282,2024-12-09 23:59:04.261577,,,Moff 5,2024-12-06,2024-12-07 06:00:00,,f,f
9091,,,moffitt 4th fl entrance,cal1 id card,Cal ID Bella Jon Snow,,Jon Doe,Jon Doe,Patron,2024-12-08 23:28:07.842975,2024-12-08 23:28:07.842975,,,Moff 4 Printers,2024-12-08,,,f,f
9092,,,moffitt 4th fl entrance,cal1 id card,Jon Snow,,Jon Doe,Jon Doe,Patron,2024-12-09 23:51:49.321972,2024-12-09 23:51:49.321972,,,moffitt 4/5,2024-12-09,2024-12-09 23:51:00,,f,f
9093,,,moffitt 4th fl entrance,cal1 id card,Jon Snow,,Jon Doe,Jon Doe,Patron,2024-12-09 23:52:09.411058,2024-12-09 23:52:09.411058,,,moffitt 4/5,2024-12-09,2024-12-09 23:52:00,,f,f
9094,,,moffitt 4th fl entrance,wallet,black bifold wallet with CalID Jon Snow,,Jon Doe,Jon Doe,Patron,2024-12-10 00:01:08.471642,2024-12-10 00:01:08.471642,,,Bathroom moff 4,2024-12-09,2024-12-10 00:01:00,,f,f
9095,,,doe south entrance,"electronic device accessories (including chargers, flash drives, dongles/docking stations, etc.)",White MacBook charger ,,Jon Doe,Jon Doe,Security ,2024-12-10 10:27:40.253648,2024-12-10 23:10:33.183206,,,Main stacks level B,2024-12-10,2024-12-10 10:00:00,,f,f
9096,,,moffitt 4th fl entrance,other,ASUC Check for Jon Snow,,Jon Doe,Jon Doe,Patron,2024-12-10 18:18:23.330826,2024-12-10 18:18:23.330826,,,Mof 4,2024-12-10,2024-12-10 18:18:00,,f,f
9097,,,doe south entrance,"electronic device accessories (including chargers, flash drives, dongles/docking stations, etc.)",white Quick wall charger usb ,,Jon Doe,Jon Doe,na,2024-12-10 22:36:22.864136,2024-12-10 22:36:22.864136,,,na,2024-12-10,2024-12-10 22:36:00,,f,f
9098,,,doe south entrance,keys,blue Berkeley lanyard with silver key and key fob,,Jon Doe,Jon Doe,na,2024-12-10 23:13:36.286663,2024-12-10 23:13:36.286663,,,moff 3,2024-12-10,2024-12-10 23:13:00,,f,f
9099,,,moffitt 3rd fl entrance,other ,Wells Fargo Debit card belonging to ‘Jon Snow’,,Jon Doe,Jon Doe,Patron,2024-12-11 07:32:58.102644,2024-12-11 07:32:58.102644,,,Moff 3,2024-12-10,2024-12-11 07:20:00,,f,f
9100,,,moffitt 3rd fl entrance,keys,Keys + Cal 1 Card belonging to ‘Jon Snow’ + little baby yoda lego,,Jon Doe,Jon Doe,Patron,2024-12-11 07:56:20.928408,2024-12-11 07:56:20.928408,,,Moff 3,2024-12-10,2024-12-11 07:55:00,,f,f
9101,,,moffitt 4th fl entrance,earbuds/headphones,Airpods 1 or 2,,Jon Doe,Jon Doe,Patron,2024-12-11 15:47:20.429235,2024-12-11 15:47:20.429235,,,Moffit 4 common area,2024-12-11,2024-12-11 15:30:00,,f,f
